reviews,ratings,date
"I have been coming back to Crimson over the past few years because of its amenities but this year, customer service has just been stellar! It was my birthday and as early as port arrival, the staff were already greeting me! I even received a surprise lava cake with a birthday greeting inside my room. :) and when I booked Azure’s private room for my birthday dinner, the staff surprised me with a birthday greeting on the wall! Amazing stuff! Thank you so much, Crimson! I want to mention the following staff who are noteworthy to be commended please: Azure - Beejay - he has been my go-to since a few years back, he takes care of my needs whenever I’m at the Azure resto, over by the pool, or even at the beach! Ran John - he, together with the staff, gave me a birthday greeting surprise in Azure’s private room Joshua - this lifeguard isn’t only a lifeguard but has amazing customer service as well. He was accommodating and even ran to give me a towel because he thought I might be feeling cold coming from the beach Ray - from Safron. He has got to be the most genuine and sincere staff there. It’s the way he carries himself and talks to people that makes him stand out from the rest of the staff Ray - from Concierge. I didn’t meet him personally but chatted with him re: the airport transfer. There was a typhoon and we had a senior with us who didn’t want to take the speedboat. Ray patiently explained to me that we will be taking the land transpo for our safety.  Roa - from the port. She was the first one to greet me a happy birthday and was so sincere doing so.  There’s one more staff I want to commend but I wasn’t able to get his name. He’s a tall man, wearing eyeglasses, from the front desk. He was so friendly and accommodating to me and my family.   Thank you again, Crimson. See you next year, on my next birthday! 💓…",5,June 2023
"Been to Boracay countless times, and Crimson is one of the best hotels for me.  They have a nice lounge in Caticlan with cookies. There is even wine!  Stayed in a one-bedroom suite. It was huge, especially the bathroom. A part of oir group stayed in the villa with plunge pool. Villa guests have access to the Villa Hoir at Mosaic. You can enjoy afternoon treats and drinks.  Nice breakfast spread. Lots of choices!  They have shuttle service to D'mall. If you take the e-trike, expect to pay 250 to 350 pesos one-way.",5,June 2022
We had an amazing time in Crimson. Impeccable service from staff. Room and facilities were first class. Location was perfect and everything just felt special. We enjoyed our stay and would love to come back again. ,5,May 2023
My partner and I had a short stay at the resort in May. We booked a pool suite with a lovely sea view and enjoyed our time relaxing and dining on site. The food was great and the staff were amazing. Cyra at mosaic restaurant and both Roge and Vincci at the concierge desk were super helpful. Definitely booking another stay in the future.,5,May 2023
"We've been to several countries and hotels but never felt compelled to write a review..  But after our stay in Crimson, it just feels strange not to give one, because once I instantly recall how happy my family was, I know I should express at least a rightful appreciation..  There's something really exceptional about Crimson. We knew that the place and all its stuff would be wonderful, but suprisingly, what impressed us the most was the Service.   Their stellar staff intuitively knows your needs and would offer all-out help to resolve any of your significant concerns, from the reception, area facilitation, accommodation, and even on send off. Aside from being courteous and sensible, they gave us all the necessary assistance and even favors that simply made us feel special.  It was a well-served experience for us,  we know for a fact that sometimes, even our vacations come with few hassles and problems. And it's really helpful to have this kind of team to assist you and ensure that you will still enjoy your precious vacation.  We got to enjoy all the items and experiences during our stay, and my family was so delighted. Needless to say, we gave Crimson a perfect 10 rating. My son, who is very hard to please, even gave it a 4 thumbs up ..   (yes, toes included 😄)…",5,May 2023
"It was my son's birthday celebration, we needed it to be perfect. And thanks to you and your team, it was! Your staff treated me like family. Drivers and other staff especially Sir John gave us the warm receptiveness and ofcourse Sir Rey's of Saffron's Cafe gave us extra ordinary service and kindness. They made sure first day of my son's birthday celebration at your hotel a memorable one. Our dinner at Mosaic Restaurant  was marvelous. There’s no way I would forget the warmth and kindness you offered my family and me.Thank you for your excellent hospitality; it surpassed my expectations.  I want my friends and family to have the kind of experience we had with you, so I will gladly recommend you.Please keep up the good work. You have a life-long customer in me.",5,May 2023
"We had two rooms at the Crimson Boracay in May, traveling with my fiancé and her family. The facilities and location are wonderful, but the service is not even worthy of a 3 star resort much less a 5 star  Let’s start with the bad - The aircon in my room did not work properly. The room stayed over 24degrees (77 Fahrenheit) the entire time. They sent someone to fix it, he finally left and said he would “check the chiller settings,” but it did not improve. I will give them credit that they called and checked and when I said it was not fixed sent someone to change the thermostat. We left for the day, coming back to the room late to find it still over 24 degrees. So for two nights I got very little sleep because being from Wisconsin this was miserably hot to me.  - I purchased a number of extras when I made my reservation and when I tried to ask about them when checking in, the clerk knew nothing. Their entire process is to get your Viber or WhatsApp and message you. This is what you have to do for anything you want/need. Very impersonal - They seem to add an 8.5% service fee to everything with no explanation. For example, I availed of the private speedboat transfer which it said online was approximately 16K, but then they added 21% more for taxes and the 8.5% service charge. - The food at breakfast was good but service is terrible. One morning there were no juice glasses. I told three different people and they were not replenished. Finally the lady behind the bar area gave me a glass. It takes forever to get your coffee and then no one comes by for a refill. You have to fill out a form at the egg station vs. just telling them what you want like other hotels.  - I asked the desk clerk about activities like parasailing and was again directed back to Viber. Very unhelpful . By the way, do not do parasailing thru the hotel they mark it up over 4X what it costs if you go to providers at Station 1 - I asked the Concierge about how long it took to get to a certain place and how to get an e-trike. He seemed to have no idea where I was talking about at first even though it’s  a very popular activity. I finally had to show him pics then he understood. His English was terrible and this is a concierge at a 5 star resort.  - I asked about horseback riding in the island and they had no idea. I later found out on my own another hotel offers horseback riding and it’s open to the public for a few, but by the time I discovered it myself no reservation was available. - There are shades on the floor to ceiling windows and these are power with buttons to control them on a nearby walk. They did not seem to work as planned, one would auto go up when you pressed the button but the others you had to stand and hold them the entire time…seemed like it took forever, making a simple task a chore - Called for a bellman to help with our luggage and he showed up without a cart - I was paying for both rooms, but they INSISTED at the end that my fiancé’s mother had to sign the bill for the second room. - I paid nearly $300 for our buffet dinner one night and asked the server for the bill, which I paid and left a healthy tip. Then as we are walking out, right in the middle of the floor the manager confronts me telling me I need to pay. This is embarrassing as we are literally in the middle of the restaurant between the diners and the singer. When I tell him we already paid, he doesn’t apologize but instead starts looking to his staff for confirmation like I’m a liar. How’s that for service after dropping $300 on dinner!!!! - Be careful on the bathroom tile. If it gets even a little wet it’s super slick. Very dangerous  - I paid 19K pesos, about $380, for the private speedboat transportation back and forth. First, the lady at the welcome pavilion had no idea we had paid for the return trip as well and tried to sell it to me. Then they offered everyone coffee when it’s over 99 degrees out. I asked if they had cold drinks available and an employee listed a number of cold drinks. I said I would have Gatorade and he then wanted to charge me 150 pesos ($3) for a bottle of Gatorade!!! Mind you I’m paying $380 for this transport package and they can’t even provide a cold drink.   The Good: - We took the art class for adults on a rainy day and it was so much fun. The teacher was great and really made it enjoyable. Well worth the money - Their private Transport package is expensive but worth it. The Welcome Pavilion is great (other than the cold drink issue mentioned above) and the staff there and on the boat were fantastic. - The room was nice, but the balcony is really small - The main pool is large and did not feel crowded even on Saturday.  - The foam party was fun for adults and kids. I was actually surprised because I thought it would be silly, but it was great - Their beach is nothing short of paradise. This is so different than for example Station 1. It’s a very wide sand beach, completely secluded, perfectly clear water and it wasn’t at all crowded during our entire stay. There were plenty of lounge chairs as well. I do wish someone from the bar would come and let you order drinks, we always had to go to the bar to order, whether on the beach or at the pool. - The food quality was great. The dinner buffet at Saffron Cafe was expensive but worth it. Lots of choices and they grill a variety of meats to order. The selection changes nightly but always delicious. They also had live music both nights we were there, which our family really enjoyed. I will call out Paul from the wait staff…overall service was not good, but he was impressive. I’ve been traveling to the Philippines for 20 years and this was the best dinner buffet I have experienced. - The overall facility is well maintained and the decor throughout is good. - The hats and bags provided were a real luxury touch that was unexpected. Very nice.  Overall the facility is 5 Star, but the service was unacceptable. I usually go to the resorts on Mactan which have outstanding service. The Crimson has something they can never have with it’s amazing location, but they waste it with poor service.…",2,May 2023
"We have just spent 4 nights at Crimson Resort in Boracay.  The hotel is beautiful and the staff amazing, not a single staff member walked past you without a smile and acknowledgement.  Our room was a standard room is Aqua (1214) and it was plenty big for the 2 of us with lovely king bed, lovely linen, good air on and ceiling fan, beautiful bathroom and great wi-fi right throughout the resort, even on the beach.  The private beach and pool are wonderful as is the foam party we experienced.  Happy Hour each afternoon between 4-6pm at the Azure Beach Club offers half priced drinks.  Breakfast each morning offered a good choice of local, asian and western.  The hotel offers shuttles buses to station 2 4 times per day although the van only seats 11 and it’s first come first serve.  This is my downfall for Crimson, for a hotel with 100 odds rooms to only offer this service 4 times per day for such little numbers is not sufficient.  Station 2 & 3 are where the nightlife and people watching occurs and it is not possible to walk there.  Alternately you can catch a tricycle for $250 peso but guest shouldn’t be asked to pay that.  A great experience, the hotel and staff are great, we would definitely come back.…",4,May 2023
"overall the stay are nice, with nice breakfast, swimming pool and beach area. We stayed in with 3 adult and 1 kid, the suite are spacious with set up of sofa bed at the living room. Breakfast are with asian cuisine, japanese, korean, filipino, and west. ",5,May 2023
We had a great time especially the kids enjoyed it. So many activities for the kids. We went back for a day trip  the day after we transfered to station 1 because the kids does not want to leave. The food was also good. Best part is the people. Great service and very accomodating.,5,May 2023
