reviews,ratings,date
"1. You’ll be surprised as to how many trainees they have- a looooot as in a looot all over the hotel, bellman, restaurant, HK 2. The hotel was kind enough to let us in earlier than the check in time. We were assisted in the room by the trainee.  3. I was shocked at first when I was told that there is no wifi in the room cause I have to work. But good thing it was working but it was a bit weak. It was better past midnight.  4. Expect that there’s a lot of people for bfast Since it is a beach front property and the price is cheap, a lot of locals are staying here.  Bfast was not slow even if there’s a lot of people.  Kimchi is too spicy though. I love kimchi so I think they have to improve the taste. I also didn’t like the egg as it does not taste 100% real egg.  5. Check out - wait for Hk clearance 6. Better to bring your own towel when staying here.  7. Good location- beach front Near 7 eleven 8. They have a pool but we didn’t have time to swim.   Good stay…",4,April 2023
"My family and I stayed at La Carmela for only 1 night, and thankfully so.  Upon entering the room, you immediately notice the dated look of the room. Colors used made the room look dark, and it reminded me of budget motels in Metro Manila.  The trash bins in the room looked very much like waste bins you would see at a public place--green/red/yellow plastic. The shower head in the bathroom was broken--it was spewing water out from both ends.  There was also barely any reception in the room. We also experienced a power outage during our short stay at the hotel.  Their complimentary breakfast might be the saddest I have ever encountered. They were offering plain congee, and it literally was just cooked rice diluted with water.  I don't think I could have survived more than our overnight stay.  I do hope they can modernize the place since they have so many guests staying over--I think they'll be able to afford it. Until then, I'll be skipping La Carmela indefiitely.…",2,February 2023
"Room was good, however needs sound proofing especially that it was just accross the generator set.  Buffet breakfast have good choices of food, however, coffee was bland. The paper tag placed around your wrist during meals was just annoying.  Due to uncontrolled number of guests, there is quiet a long queue when checking in/out of the hotel.",4,January 2023
This is the only hotel that I have experienced to have a cockroach in it. To think that I have just checked in an I have no foods inside the room. I am very disappointed and I feel like I was ripped off. I am jus glad that I had booked a 1 night stay. Never again! Not recommended at all.,1,December 2022
"Superb location and accessible to the beach . The breakfast food buffet was definitely worth it. The room was nice and cozy. It has an elevator which is good for easy accessibility. The downside is that they don't give you an OFFICIAL RECEIPT, this is for reimbursement. The front desk receptionist was adamant about it and not very polite about that situation wherein she could have handled it more professionally.",3,October 2022
"I booked this thru online.   We we're expecting a lot from La Carmela since Sir Boy Abunda keeps on promoting this hotel during all his tv shows.   Anyway, if you can try to have more budget on your accommodation, pls pls don't book here at La Carmela. They will assign your room on their VERY OLD building.   We cannot transfer to other hotel since its already fully booked.  So we asked them if we can just have a room upgrade and will pay extra. We we're transferred to a better room and a better building.  Anyway, below are some helpful items before you book this hotel.  1. Globe signal is very low on the rooms.  2. Wifi only available on common areas (lobby and dining area).  3. FO (Front Office) staff and their FO head are not accommodating. It looks like they are not enjoying their job. We didn't hear any apology when we  raised our room concerns.   4. On our first day, we requested for a wake up call and we didn't receive any call. Again, we didn't hear any apology from them.  5. Wide variety of breakfast, but no taste at all. No bacon, no choice of egg (other than scrambled) and the hotdog tastes like a very cheap brand. Knowing that their standard/premiere room price starts at Php 2,500++ per night.  6. Hotel is located on station 2, but almost on station 3. So far.  7. Incomplete set up on rooms. We have to call FO for towels. The FO staff who answered was just saying ""Uh huh, yes"" sounds like she don't know what she's doing.   We we're so frustrated to think that my companion and I are working in the hotel industry for almost 9 yrs, that is why we know  how you should treat the guests.   La Carmela should take seriously these reviews and know how to improve their hotel and the attitude of their Front Office staff.…",2,October 2022
"We booked a week here but stayed only one night and canceled the rest.  When we arrived hungry and tired they could not find our reservation and held us up for almost 3 hours Before agreeing to give us a room at the regular rate for the first night.  We booked our reservation through AGODA but AGODA said in an email later that night the hotel had refused to honor the reservation. The rooms in our part of the hotel looked like something from the late 1960’s, The air conditioning was noisy and we saw a live roaches in the bathroom. The entrance is in A narrow alleyway Barely white enough for three wheeler. The beach was a long Walk from the room which wasn’t really great since I am due for a knee replacements on both knees. The furniture is old and wore And the beds not too comfortable. We booked a week here but stayed only one night and canceled the rest.  When we arrived hungry and tired they could not find our reservation and held us up for almost 3 hours Before agreeing to give us a room at the regular rate for the first night.  We booked our reservation through AGODA but AGODA said in an email later that night the hotel had refused to honor the reservation. The rooms in our part of the hotel looked like something from the late 1960’s, The air conditioning was noisy and we saw a live roaches in the bathroom. The entrance is in A narrow alleyway Barely white enough for three wheeler. The beach was a long Walk from the room which wasn’t really great since I am due for a knee replacements on both knees. The furniture is old and worn and the beds not too comfortable.…",1,October 2022
"Having spend the night before in Hennan Park Resort this review maybe a bit skewed. Price wise I am going to assume La Carmela is much lower costs. The exact costs I don't know as it was part of a package. It is a bit of a dated hotel. Room is OK for 3 stars. Bed are like thick Uratex but OK. There is a fridge and waterheater but no amenities like coffee or tea. Our room has a small private balcony with two (uncomfortable) chairs and table. In the room no chairs although there is space. Aircon (window type) cooled OK but noisy. Bathroom outdated but shower strong and warm. Shower did almost overflow as there is no threshold and little slope to the drain. Towels were small and worn. The resort is right at the white beach with in front of the premises a small pool. Too small for the size of Carmela. But hé the beach is 25 meters more and that's why you are in Boracay. Breakfast was buffet style with mainly Filipino choices.Quite busy and you are requested to give your preferred time slot for your breakfast to stagger the crowd. For western not so many choices. One fruit, there is basic cereal and simple slices of bread. For good breakfast you have to go Filipino. There is no bar at the hotel (unless I missed it) but enough choices walking distance.  …",3,October 2022
"I was sponsoring a family of 9 for 3 BR for a 5D/4N stay so I called the hotel to pay for the reservation.  To my surprise, I was told to send a remittance money as a mode of transaction!  I have transacted in the past with Shangrila as well as Coast Boracay and never had any issues transacting either over email or phone.  This is the first time I am transacting with La Carmela and the service from the start is unbelievably dumb!   I guess there's a reason why review of this hotel stands at 3.  I wouldn't be surprise if the rating further sinks down to a 1.  Don't stay in this hotel... look somewhere else.",1,August 2022
No wifi in the rooms.only in the lobby No slippers provided Pillows smell like old  stock from cabinet it is not fresh smelling linens and bedsheets. No smoking in the resort but does not provide smoking areas,1,August 2022
"My third time going to Boracay, my first time was in Fairways & Bluewater Resorts, however it was too far, 2nd time we stayed in Villa De Oro, and for my third time, we stayed here at La Carmela. Our stay here at La Carmela was a clutch decision but a truly memorable one. We celebrated New Year's Eve 2022 at La Carmela. We stayed there for 9 nights. But I must say, some employees are not that dedicated and passionate with what they do, except for the security personnel who were all very accommodating. I myself, I am a front office agent, I can't even feel the sincerity with the service they provide.   I was actually expecting a lot from La Carmela since Mr. Boy Abunda has always been promoting this resort during all his shows, in addition to that, so many celebrities and even…",3,January 2022
"Was booked here by Travel agent. Location is awful, had to drag luggage from main road to get to hotel. Website says beachfront blatant lie 10 min walk to beach. Room awful, staff awful. Of course no refunds. After waiting 3hrs finally room available. Beds awful room awful. We left and went to Fairways and Bluewater resort, cost was just a few peso more. Worth every penny.",1,June 2022
"Went to Boracay with my family of 10pax (2kids) from Thursday to Sunday morning. In this review I will emphasize some important points to consider NOT to book this hotel if you want a relaxing Boracay vacation:   Point 1: Their booking price does not include transfers from Boracay airport to hotel. Being budget hotel their price does not include transfers from airport (van-ferry-van) to hotel which other hotels already include. If you are traveling with several luggages especially with kids, better book a hotel which includes door to door transfer since this can be major hassle. For our group this is an additional 1,200php per head (10k total) which can just be used to book a better hotel.  Point 2: Their hotel is crowded, even the hotel lobby is small. Again since this is a…",1,May 2022
We celebrated my mother's birthday in Boracay and booked 2 rooms in La Carmela and we're lucky enough to be upgraded. It's a 3 to 5 minutes walk to the beach and also has a pool. We weren't able to experience the pool in the front part because it's jam-packed with guests but the one on the east wing is empty so the kids were able to take a dip. We had a great time staying there.,5,June 2021
"0 star hotel, everything is dirty, toilette and shower everything has molt (schimmel), ac is loud and stinks, window is towards a roof and stinks outside, breakfast only 2 out of 4 menus available and it tastes bad. Breakfast costs 250php, dont buy it, its a **** hole.",1,April 2022
"Reminder when staying in a budget friendly hospitality venue , expect to get what you pay for . Here are some nice to know.,  1) poor amenities, such as a small bar soap , with no dental kits . No slippers.So bring your own stuff .  2) there is hot water option in the shower , strong pressure  3) wifi is very erratic,  4) aircon noisy but can cool evetually 5) breakfast is not buffet , plated deals that change daily  6) some staff are efficient, others are not",3,March 2022
"Dusty rooms, don't bother to clean before guest check in. Water dispenser was at the first floor, and our room was at the fourth floor. Why not put water dispenser per floor, too tired of going up and down.  No buffet breakfast unlike before. Please go and find another hotel that will provide better service.",1,February 2022
"Stayed here for total of 4 nights, 2 rooms. Nothing really much to say coz most of the time were outdoor.  Room - nothing special. Just enough for the price i paid.  But i like the pressure of the water in the shower perfect for rinsing after your outdoor activities.  Aircon is a bit noisy but cold which os okay for me.  Restaurant - food in their breakfast is so so…. But having a polite and attentive staff makes us feel good. Good job guys for showing your hospitality.   Pool - wonderful! Facing the beach makes it extra luxurious and instagramable! Though i suggest that life guard should put some smile in his face to be more appealing to the guest and not think that he is snob.  Staff - Overall, they are completely fine.   Will o come back in this property nextime? Maybe yes,…",3,January 2022
"If you are trying to get a buck out of 299 for dinner buffet, I guess this will be it.  The whole selection is just meh. But the whole dining area is hot. Still happy to reminisce the joy of being a former La Carmela guest.",3,October 2021
This hotel is really nice. This is the second time I stayed here with friends. Also the staff are all hospitable. They always make sure that all the rooms and areas were well-sanitized. I recommend you to try their amenities as well. I will surely be back here soon.,5,June 2021
