reviews,ratings,date
"First, the lobbyist (Ms. Lyn) was very friendly and offered us everything that could've made our stay enjoyable. It's remarkable how she knew us personally, and showed familiarity to us, even though we've just met 3 days ago. Kudos to her and the rest of the lobby staff.  We also booked a dine under the stars package and was assisted by our butler (Sir Joshua) with a very friendly and approachable manner. I'd like to commend his social skills and friendliness as it felt very genuine and in character. We loved his service and character so much and would definitely loved to see him grow within the company. I recommend him for any chance of promotion in his career path.",5,June 2023
"This hotel is one of our fav. so far. We came here for our honeymoon and we had a very long trip going here and from the moment we checked in, the hotel staff and the ambiance made us feel energized and relaxed. We were surprised to see our room which was prepared with some nice and lovely touches. They also give us a complimentary drink and a surprise honeymoon cake. Everything is excellent; 1.)their shuttle service (they have free shuttle service to take you to a station) and 2.)the accommodation (staff are very friendly and helpful. The room is spacious), 3.)the pool (their pool is so wide and they also have this bubble party, which my daughter really loves), 4.)the private beach (there is a shuttle that will take you to their private beach, we enjoy the kayak and the clean and crystal clear water) , and 5.)the breakfast buffet. We are definitely looking forward to returning here someday.…",5,August 2022
"Nice room accommodation and superb service🥰 Please follow @philwonderstravel and we will assist your booking from airfare, Savoy accom and Airport transfer ☺️ Thank you Savoy for the great experience, will definitely go back! ",5,June 2023
"If you are looking for a place outside the hustle and bustle of the main beach, this one’s for you.   Pros: Their staff is very good and approachable. The room is clean with good sight of the pool, and slight overview of the beach. If you wanna go to DMall, you have a free shuttle service every 30min. Good breakfast buffet. Newcoast beach is a sight to see, with the clean water and free use of the paddle and kayak. There are also people there offering crystal kayak photo-op with your phone and I tell you, they will give the best shots with the great view.  Cons: The place is quite far from the main beach but izzokay. Slight improvement of the breakfast menu by including variety of fruits and desserts  Overall, me and my partner had a great experience with the hotel. Definitely, a 10/10!! Come and visit this place!!…",5,June 2023
"We loved everything about Savoy Hotel.  PROS:  This hotel was really affordable. Even during peak season, it was  really worth the price.  Hotel check in was a breeze. Staff were always welcoming and friendly. They had clean bathrooms, with very nice balcony view of the swimming pool. Their pools were awesome. Loved that they have 711 convenience store and Gongcha within the vicinity. They provided free shuttle to and from Dmall. The complimentary sunrise tour is a must. I just loved how their private beach was  well maintained and not overcrowded. Kudos to their staff for helping us with my sister’s broken luggage.  CONS: Since it’s on the newcoast, it’s really far from the white beach. If you’re not availing their free shuttle service, etrikes are 300 pesos per way. Buffet breakfast was tasty too, however, it could be improved. I wished they had corned beef or bacon. Hehe. My mom’s room’s keycard always malfunctioned.   Other than these, we really enjoyed our stay at Savoy Hotel Boracay! Until next time 🥰…",4,May 2023
"The place is great! There are so many activities that you could do here. Me and my partner went kayaking that’s for free 😊 Great for family trips 😊 would recommend if you don’t want overcrowding beach. Thank you savoy for decorating the room and the cake, surprising my partner for her birthday. Staff here were great too.",4,June 2023
"Had a pleasant stay here in Savoy despite the fact that I had to wait 1 hour for the shuttle to arrive from Dmall to Savoy. But nonetheless, it was a great 1st time experience and we enjoyed the nice beach with free use of paddle and kayak. Thank you, Savoy!  Plus, I highly appreciate the birthday setup in our room. Superb experience",5,June 2023
"The pillows are very comfortable, it made me sleep throughout the whole night. And the Vienne place made our stay more entertaining since there is a table tennis there, and the view is breathtaking at our room.",5,June 2023
"The room was very cozy, with great view from the balcony. The private beach with crystal clear water was a sight to behold. It was quite far from the night life (station2) but a free scheduled shuttle is available upon reservation. The hotel provides different kind of activities and amenities that you can enjoy. The staff were also very respectful and accommodating. This is definitely one of the best vacations we’ve had. ",5,June 2023
"Very accomodating staff, a nice bed and also the view is breathtaking. Free shuttle is really good. Breakfast buffet have a lot of choices and they also provided us a breakfast to go for our morning flight. Overall really nice experience 💯",5,May 2023
We went here to celebrate my sister’s birthday and it was definetly good choice. Hotel staff were very accommodating. Breakfast buffet was good also. I got the value of what i’ve spent for. The weather was not really good since there was storm but we still did enjoy our whole stay. Beach was incredible as well.,5,May 2023
"Higly recommended Hotel at boracay. We appreciate your excellent service, especially the quick check-in and check-out processes and the best room you offered, which made us extremely satisfied, special mention from Front Office Department's Sir Darwin for being kind, flexible and available during our stay at the Savoy Hotel.  God bless everyone, and always stay safe!",5,May 2023
"It’s my first time to stay here at Savoy Hotel Boracay Newcoast, and I really enjoyed my stay here! From check in process to check out process all are smooth transactions. I would like to commend these people - Joy-FO, Kimmy-FnB, Sandy-Shuttle Driver, Benedict-Bellman, Rachel-FnB, Rose-Pool Attendant, and Lyn-FO  They are very kind to us and they always smile and greet us. Very hardworking and generous people. Actually all of their staff are very good and accommodating! Can’t wait to go back here!   Foods are very delicious! The room is okay, very comfy. Also thank you to the housekeeping who cleaned our room. I haven’t get their names. Sorry but thanks to them!   Thank you so much, Savoy Hotel Boracay Newcoast!",5,May 2023
"We just got married and we decided to have our honeymoon in Boracay and we stayed in Savoy for 8 days.   We booked 1 month ago. I called them and requested to have our room set up for newlyweds and they agreed. They said that the simple setup was free even though we are willing to pay.  Then 1 week before our flight to Boracay, I called them again for a reminder and they said that it was all noted.    When we arrived, there were no set up but we let it pass. However, the AC was not quite working on our room so we called the front desk. The maintenance went to our room and checked it. By 9pm, I was so tired because our flight was delayed prior. And the AC is still not getting cold so my husband called them again.   We requested to have our room changed and finally they agreed. By…",4,April 2023
"I would highly recommend this hotel 100 percent, everyone was so friendly and welcoming and the experience was first class from the beginning to end.    Anything we need was provided for us and from the amenities to the food it was top class . You won’t go wrong coming to the Savoy Hotel in Boracay I promise  I recommend Blaize, Kent, Angel, Cheska, Nath, Benedict. They are very nice and accommodating.",5,May 2023
"Savoy Boracay has been an awesome experience. The place it self is beautiful, the staff are very welcoming and friendly.   The only thing I don’t like is the open reception area, after a long day of staying in the heat I was looking forward to staying in a more colder area but was not able to do that until I got into the room.   I think it would be better for the reception area to be closed instead of a fully open area so that guests can be cool while they wait to be escorted into their bedroom.   My overall experience with beautiful and would definitely recommend and return back to savoy in Boracay. ",5,May 2023
"Top staff are top tier! Very friendly, helpful and very responsive. Norway, who was in the cafe and Keith in the lobby were exceptional! Food was great! Halo halo in the cafe was arguably the best I’ve had in years. The facilities are awesome, tv, balcony, gym, pool, slippers and robes. The rooms could have been bigger though and an airport shuttle bus would be very helpful.",4,May 2023
"It was a great place to relax and enjoy. The staff in savoy cafe are all nice and accommodating! Cyrus is the one of the best staff assisted us!  Highly recommended to relax and unwind! The best hotel with exemplary amenities and services from front desk, house keeping, driver, dining staff, pool staff, guards! Amazing service I ever had!",5,May 2023
"• Hotel location was pretty secluded from the bustling hot spot of Boracay, which was pretty nice • Shuttle service was provided to and from the convention site we've attended • Staff were friendly and very accommodating • Breakfast was good",5,October 2022
"I'm happy that we chose Savoy hotel as our place in boracay. I love everything about savoy hotel like the room, facilities, pool area, bar area, and the breakfast buffet. Special mention to Sir Darwin for helping us as we stay in the hotel. See you again Savoy Hotel",5,May 2023
Staying for a week  at Savoy Boracay with friends  was extraordinary and best choice. I loved the hospitality and friendliness of the staff. Breakfast was amazing variety from local to Western cuisine.  A million thanks to the General Manager Elmer Lina for making our stay memorable and making sure that we have the best time in Boracay. You surely made our stay in Savoy Boracay beyond expectations.,5,May 2023
"I love everything from the hotel especially the people and the hotel itself. It so amazing, i love my vacation together with my family at the Savoy Hotel, Thank you Savoy for welcoming us amazingly. Thank you kuya  Darwin ladera Quisoy  for the assistance ",5,May 2023
"Staff: Very friendly and accommodating especially Darwin and Benidect. Thank you two for being kind, helpful, friendly and makulit to us. Kudos to both of you! ☺️  Food: Quite expensive. Suggest you eat outside the hotel.",5,May 2023
"Good service,  Staffs are kind, very comfortable , very accomodating the rooms are very clean with good ambiance the amenities are complete we love the place well back soon here in savoy hotel thankyou",5,May 2023
Thank you for the great experience especially for the smooth check in and checkout and for providing the best room with Oceanview…special mention to Darwin at the F.O department for being kind and helpful. Also to the F&B department Erwin and his team for serving a good food…Keep safe and God bless ,5,May 2023
"Nice Stay. Very cheep price. Good food.wonderful private beach. So kind steps. Specially, Cheska, Krizza, Chiara, Daneilla Thank  so much. Their kindness touched my mind. My friends told me"" wonderful syay!!'",5,May 2023
"Front desk named Darwin allowed us to stay for 1 hour , today because our check out time is 12 noon and our transportation pick up time is 2 pm. They are so accommodating and kind. The 1 hour is no charge @Savoy Hotel Boracay Newcoast",5,May 2023
"The Rooms are well maintained,Housekeeping and receptionist are swift when providing our request. All staffs I have encountered from receptionist,Security,beach staff ,Restaurant staffs,transport group were kind and Helpful.And shout out To kuya Manny and Benedict who are very professionals at The same time Friendly.  Savoy café served us with great breakfast Housekeeping were attentive and responds so quiclkly Transport -made our stay convenient and They are always on time .  If you wanna relax and stay away from Busy Stations of boracay.Savoy Hotel - Boracay newcoast is highly recommended ",5,May 2023
Excellent rooms facilities and staff. We appreciate the friendliness of the front desk too especially Mr. Benedict Samar. Nice area to unwind and enjoy the silence while enjoying the perks like free water activities. Will come back again!,5,May 2023
"This is my very first solo vacation trip in Boracay specially in Savoy Hotel. The room very extravagant. I love the view ver much. The food is very sumptuously delicious. The service is  excellent, of course the front desk staff,they are all very approachable. Special mention to sir Benedict Samar, thanks for being friendly and mabait hindi masungit.  All in all, I give 101% for rating. Perfect. I hope to see you again, Savoy Hotel Boracay. ",5,April 2023
"I am writing this review to provide feedback regarding the exceptional service given by the whole Savoy Hotel Boracay team during our stay last Laboracay 2023, particularly the Front Office Manager, Mr. Rein Pelayo and Hotel Staff/Driver, Mr. Jeffrey Ignacio.   The Front Office Manager, Mr. Rein Pelayo, was particularly exceptional. He went out of his way to make sure that our stay was comfortable and enjoyable, and was always available to answer any questions we had. He made us feel like a valued customer throughout our stay.  Every member of the team that we interacted with was friendly, professional, and eager to assist us in any way possible.    Overall, we were very impressed by the exceptional service provided by the Front Office Manager and Hotel Staff/Driver at Savoy…",5,April 2023
"Very good service and nice staff. Darwin was an excellent Person who helped us a lot. The rooms are nice, clean and big. Beds were really soft and we slept really good. The pools are good. You can easily walk to the beach or went with a shuttle. There are also shuttles to the city who are going the whole day. ",5,May 2023
"Very nice resort,  this is my second time,  service is very good special mention to darwin front office staff ,  everyday there is transportation going to station 1 boracay,  staffs are friendly and helpful ",5,May 2023
"Savoy Hotel Boracay will warmly welcome you and go beyond to ensure that every aspect of my stay was perfect.  The room were simply stunning, with every detail carefully considered to create a luxurious and comfortable atmosphere. I particularly enjoyed the breathtaking views from my room, which provided the perfect backdrop to relax and unwind after a long day of exploring the island.  The amenities at the hotel were also exceptional, with everything I needed right at my fingertips. Whether I was lounging by the pool, indulging in a delicious meal at one of your restaurants, or taking advantage of the various activities and services offered, I always felt pampered and cared for.  My stay at Savoy Hotel Boracay is one of a kind experince, and I am truly grateful for the memories…",5,April 2023
"Staffs are accommodating. The place is spacious and nice. Food is great, must try especially their pork binagoongan. Hotel is located in newcoast, you can get access to private beach to unwind and shut off all the noises.",5,March 2023
"The rooms are very clean. The staff are very polite. Expecially, Miss Angel from the front desk. She really showed me around and addressed all my questions promptly. Food is great and very hearty. You should definitely ask for their cheesecake as per recommendation of Miss Irish. Miss.  Irish really checked on the guest if how was the food. ",5,April 2023
"The service is good, everybody is polite. Chan the hospitality guy went above and beyond arranging our transfer. Thank you! And also shout out to the security guy, Vargas who is always there to help. Well done to all the staff! Enjoyed our stay! ",5,April 2023
"Second time coming here at Savoy and it was better this time around. The last time was during the pandemic with modified travel restrictions, so the place was a bit forlorn. But now the resort was lively with guests. Checking in was made seamless and hassle free by front desk officer Cheska (maraming salamat Cheska!). The room was still a bit compact but it afforded a great view all around. The housekeeping was helpful, the different areas (pool, grounds, lobby) are clean. 7-11 and gongcha shops are few steps away from the lower ground floor. Breakfast at the cafe still needs to improve on. The walk to the beach was made bearable with better footpath, and one can still use the shuttle going to and from the beach if one has the patience to wait. Shuttle to and from the hotel to…",4,April 2023
"Sarah and Krizza are my favorite this hotel. Really accommodating, approachable and sweet staff of this hotel. Everyone greets you everytime they see you and always so polite and friendly. The hotel offers a lot of free activities. ",5,April 2023
A bit pricey hotel accomodation but reasonable.  1. A very social hotel.  2. Very accomodating staff. 3. Clean rooms. 4. Hourly shuttle going in and out of new coast boracay from 9am to 10pm for free. 5. Has access to hotel swimming pool and own beach area. 6. Delicious breakfast buffet.  And many more... Very recommendable 👍,5,April 2023
"1. The hotel staff are very hospitable and accomodating.  2. The hotel is far from Boracay's main attractions but with the shuttle service, the distance is not that challenging. We have also saved a lot because we didn't pay any travel fare during our whole stay.  3. The room is clean and is comfortable to stay in.",5,April 2023
Great experience there service me and my husband celebrating our 7th wedding anniversary.having intimate Dinner night at the beach is overwhelmed and he make it surprise for me.and our butler that night is doing a great job shout out to Ken and Thony Mae. Thanks you so much.🥰🥰,5,April 2023
"Nice pleasant hotel, many facility here, nice breakfast with various food, and walking distance to nice beach, they provide free shuttle bus to station 1 &2 til 22.30pm. Will stay in this hotel again if  I back to boracay",5,April 2023
"It was very good hotel and good location.  All of staffs are very nice, kind and friendly.  I like their beautiful smile.  Room condition was good also. Newcoast area is the best place in Boracay.  I want to stay again next time.",5,April 2023
"Overall my stay here was okay! Kudos to the Security Team who’s really good especially Security Vargas, Thanks to Sarah and Joy for a very welcoming experience when I checked in. But two thumbs up to Angela for doing her job passionately and handing my issues professionally a massive THANK YOU. To the house keeping Vincent & GIAN for making sure my room is well maintained. This was my experience for the whole stay except last night was absolutely terrible sorry to bring this up. Last night was my last stay here and so decided not to go out for me to be able to relax and also decided to eat at Savoy Cafe for my dinner. After dinner I went back to my room it was good at first but afterwards started to become noisy the door keeps on banging from the neighbours then the someone…",3,April 2023
Hotel staff are very accommodating and helpful. The what-to-do activities (free) are great and worth trying. There's a swimming pool foam party on weekends. We enjoyed our stay. Having the scheduled shuttle vehicle to and from going to hotel and Station 2 is very convenient.,5,April 2023
1. Location: a bit far out especially the road to get to this hotel is under construction so there was traffic on the way  2. Front Desk: I was surprised that a trainee at the front desk did the check in. Other hotels would not allow that. The other two front desk staff were just busy with their computers and did not even look at us even the three of them did not have guests in front. They should do the check in and just have the trainee as a back up if there’s long queue.  I feel bad for the trainee but he did well.  He also assisted with the room transfer. Probably needs more trainees if he will function as foa/bellman. He’ll be exhausted at the end of the day.  Just wish the front desk will be smiling  Another time was they saw that we were in front but two girls were…,3,April 2023
Staffs were very friendly and accommodating.  Especially Sir Darwin who have assisted us from day 1. Our special requests were able to grant from room switching and complimentary cake for tatay’s birthday. It was indeed made awesome! A tasty and great buffet breakfast is served every morning.  Over-all our stay was excellent!  Kudos Savoy Team! ,5,April 2023
